legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
02-administrativo-evaluador,ctg_productos_pa_formulareg,ctg_productos_{tipo}_formulareg,product,product,12,adm_paFOR_idr|adm_paFOR_tpr_id|adm_paFOR_sus_nom|adm_paFOR_tipo,2
02-administrativo-evaluador,ctg_productos_pa_historia,ctg_productos_{tipo}_historia,product,product,13,adm_paHIS_id|adm_paHIS_tpr_id|adm_paHIS_tipo|adm_paHIS_fecha,1
02-administrativo-evaluador,ctg_productos_pa_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_pamsg_idr|adm_pamsg_tpt_id|adm_pamsg_tpr_id|adm_pamsg_tipo|adm_pamsg_id,1
02-administrativo-evaluador,ctg_productos_pa_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_papub_idr|adm_papub_numsol|adm_papub_tpr_id|adm_papub_tpt_id|adm_papub_id,3
02-administrativo-evaluador,ctg_productos_pa_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_pa_tpt_idr|adm_pa_tpt_id|adm_pa_tpr_id,1
02-administrativo-evaluador,ctg_productos_pah,ctg_productos_{tipo}h,product,product,86,adm_pa_id|adm_pa_tpr_id,1
02-administrativo-evaluador,ctg_productos_pah_EMPRESAS,ctg_productos_{tipo}h_empresas,product,product,71,adm_paEMP_id|adm_paEMP_tpr_id|adm_paEMP_rif|adm_paEMP_rol_id,0
02-administrativo-evaluador,ctg_productos_pb,ctg_productos_{tipo},product,product,125,adm_pb_id|adm_pb_tpr_id,4
02-administrativo-evaluador,ctg_productos_pb_CPC,ctg_productos_{tipo}_cpc,product,product,16,adm_pbCPC_id|adm_pbCPC_tpr_id,1
02-administrativo-evaluador,ctg_productos_pb_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_pbDOC_idr|adm_pbDOC_tpt_id|adm_pbDOC_tpr_id|adm_pbDOC_ttc_id|adm_pbDOC_numsol|adm_pbDOC_id|adm_pbDOC_part,4
02-administrativo-evaluador,ctg_productos_pb_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,71,adm_pbEMP_id|adm_pbEMP_tpr_id|adm_pbEMP_rif|adm_pbEMP_rol_id,4
02-administrativo-evaluador,ctg_productos_pb_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_pbEMPreg_id|adm_pbEMPreg_tpt_id|adm_pbEMPreg_tpr_id|adm_pbEMPreg_rif|adm_pbEMPreg_rol_id|adm_pbEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_pb_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_pbFIT_id|adm_pbFIT_tpr_id|adm_pbFIT_tipo,1
02-administrativo-evaluador,ctg_productos_pb_SEC,ctg_productos_{tipo}_sec,product,product,17,adm_pbSEC_id|adm_pbSEC_tpr_id|adm_pbSEC_pre_id|adm_pbSEC_sec_id|adm_pbSEC_env1_id,5
02-administrativo-evaluador,ctg_productos_pb_SECinf,ctg_productos_{tipo}_secinf,product,product,12,adm_pbSECi_idr|adm_pbSECi_tpr_id|adm_pbSECi_sec|adm_pbSECi_tipo|adm_pbSECi_id,1
02-administrativo-evaluador,ctg_productos_pb_files,ctg_productos_{tipo}_files,product,product,13,adm_pbfil_idr|adm_pbfil_numsol|adm_pbfil_tpr_id|adm_pbfil_tpt_id|adm_pbfil_id,3
02-administrativo-evaluador,ctg_productos_pb_formula,ctg_productos_{tipo}_formula,product,product,13,adm_pbFOR_idr|adm_pbFOR_tpr_id|adm_pbFOR_sus_id|adm_pbFOR_tipo,3
02-administrativo-evaluador,ctg_productos_pb_formulareg,ctg_productos_{tipo}_formulareg,product,product,13,adm_pbFOR_idr|adm_pbFOR_tpr_id|adm_pbFOR_sus_nom|adm_pbFOR_tipo,2
02-administrativo-evaluador,ctg_productos_pb_historia,ctg_productos_{tipo}_historia,product,product,13,adm_pbHIS_id|adm_pbHIS_tpr_id|adm_pbHIS_tipo|adm_pbHIS_fecha,3
02-administrativo-evaluador,ctg_productos_pb_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_pbmsg_idr|adm_pbmsg_tpt_id|adm_pbmsg_tpr_id|adm_pbmsg_tipo|adm_pbmsg_id,1
02-administrativo-evaluador,ctg_productos_pb_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_pbpub_idr|adm_pbpub_numsol|adm_pbpub_tpr_id|adm_pbpub_tpt_id|adm_pbpub_id,3
02-administrativo-evaluador,ctg_productos_pb_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_pb_tpt_idr|adm_pb_tpt_id|adm_pb_tpr_id,1
02-administrativo-evaluador,ctg_productos_pc,ctg_productos_{tipo},product,product,144,adm_pc_id|adm_pc_tpr_id,1
02-administrativo-evaluador,ctg_productos_pc_CPC,ctg_productos_{tipo}_cpc,product,product,16,adm_pcCPC_id|adm_pcCPC_tpr_id,1
02-administrativo-evaluador,ctg_productos_pc_DOCs,ctg_productos_{tipo}_docs,product,product,15,adm_pcDOC_idr|adm_pcDOC_tpt_id|adm_pcDOC_tpr_id|adm_pcDOC_ttc_id|adm_pcDOC_numsol|adm_pcDOC_id|adm_pcDOC_part,4
02-administrativo-evaluador,ctg_productos_pc_EMPRESAS,ctg_productos_{tipo}_empresas,product,product,72,adm_pcEMP_id|adm_pcEMP_tpr_id|adm_pcEMP_rif|adm_pcEMP_rol_id,3
02-administrativo-evaluador,ctg_productos_pc_EMPRESASreg,ctg_productos_{tipo}_empresasreg,product,product,108,adm_pcEMPreg_id|adm_pcEMPreg_tpt_id|adm_pcEMPreg_tpr_id|adm_pcEMPreg_rif|adm_pcEMPreg_rol_id|adm_pcEMPreg_nombre,1
02-administrativo-evaluador,ctg_productos_pc_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_pcFIT_id|adm_pcFIT_tpr_id|adm_pcFIT_tipo,1
02-administrativo-evaluador,ctg_productos_pc_SEC,ctg_productos_{tipo}_sec,product,product,15,adm_pcSEC_id|adm_pcSEC_tpr_id|adm_pcSEC_pre_id,2
02-administrativo-evaluador,ctg_productos_pc_VAR,ctg_productos_{tipo}_var,product,product,14,adm_pcVAR_id|adm_pcVAR_tpr_id|adm_pcVAR_var_id,2
02-administrativo-evaluador,ctg_productos_pc_files,ctg_productos_{tipo}_files,product,product,13,adm_pcfil_idr|adm_pcfil_numsol|adm_pcfil_tpr_id|adm_pcfil_tpt_id|adm_pcfil_id,3
02-administrativo-evaluador,ctg_productos_pc_formula,ctg_productos_{tipo}_formula,product,product,18,adm_pcFOR_idr|adm_pcFOR_tpr_id|adm_pcFOR_sus_id|adm_pcFOR_var_id|adm_pcFOR_justif,3
